icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
KBMX,BMX,72230,Birmingham,AL,US,33.16666667,-86.76666667,197,8,BMX
KLZK,LZK,72340,Little Rock,AR,US,34.84,-92.25,173,8,LZK
KFGZ,FGZ,72376,Flagstaff,AZ,US,35.23,-111.82,2192,8,FGZ
KTUS,TUS,72274,Tucson,AZ,US,32.12,-110.93,776,2,TUS
KNKX,NKX,72293,San Diego,CA,US,32.88,-117.15,146,5,NKX
KOAK,OAK,72493,Oakland,CA,US,37.7,-122.22,26,1,OAK
KVBG,VBG,72393,Vandenberg AFB,CA,US,34.75,-120.57,112,3,VBG
KDNR,DNR,72469,Denver,CO,US,39.75,-104.8666667,1608,8,DNR
KGJT,GJT,72476,Grand Junction,CO,US,39.12,-108.53,1475,2,GJT
KXMR,XMR,74794,Cocoa Beach,FL,US,28.468,-80.567,3,8,XMR
KJAX,JAX,72206,Jacksonville,FL,US,30.4941,-81.6879,10,0,JAX
KEYW,EYW,72201,Key West,FL,US,24.55,-81.75,5,2,KEY
KMFL,MFL,72202,Miami,FL,US,25.75,-80.36666667,5,8,MFL
KTLH,TLH,72214,Tallahassee,FL,US,30.4,-84.35,19,3,TLH
KTBW,TBW,72210,Tampa,FL,US,27.7,-82.4,12,8,TBW
KFFC,FFC,72215,Peachtree City,GA,US,33.35,-84.56,262,1,FFC
KDVN,DVN,74455,Davenport,IA,US,41.62,-90.58,230,3,DVN
KBOI,BOI,72681,Boise,ID,US,43.58,-116.22,875,0,BOI
KILX,ILX,74560,Lincoln,IL,US,40.15,-89.33333333,177,8,ILX
KDDC,DDC,72451,Dodge City,KS,US,37.78,-99.97,789,0,DDC
KTOP,TOP,72456,Topeka,KS,US,39.08,-95.62,268,3,TOP
KLCH,LCH,72240,Lake Charles,LA,US,30.12,-93.22,4,3,LCH
KSHV,SHV,72248,Shreveport,LA,US,32.45,-93.83,83,3,SHV
KLIX,LIX,72233,Slidell,LA,US,30.33333333,-89.83333333,7,8,LIX
KCHH,CHH,74494,Chatham,MA,US,41.68,-69.97,16,8,CHH
KCAR,CAR,72712,Caribou,ME,US,46.88,-68.02,191,0,CAR
KGYX,GYX,74389,Gray,ME,US,43.9,-70.25,125,8,GYX
KDTX,DTX,72632,Detroit,MI,US,42.71,-83.47,327,8,DTX
KAPX,APX,72634,Gaylord/Alpena,MI,US,44.9,-84.71666667,446,8,APX
KMPX,MPX,72649,Twin Cities/Chanhassen,MN,US,44.85,-93.56666667,288,8,MPX
KINL,INL,72747,International Falls,MN,US,48.58,-93.38,360,1,INL
KSGF,SGF,72440,Springfield,MO,US,37.23,-93.4,390,5,SGF
